candidate_id,layer_count,sources_per_layer_mean,radius,z_extent,angular_offset_fraction,orientation_alpha,eig_smooth_background,eig_center_weak_target,eig_eccentric_roi_target,eig_weighted,eig_weighted_minmax,eig_weighted_zscore
cand_0229,2,24.0,1.4098773765836017,0.20931103640773008,0.03162861140634374,0.03463999234939758,3.284398078918457,3.3171916007995605,3.3668718338012695,3.3218599438667296,0.48101106419213746,0.4493078481038866
cand_0122,2,24.0,1.373286212946972,0.15763514520886668,0.30811761603168447,0.8378831845521721,3.2841873168945312,3.3147332668304443,3.3595144748687744,3.318596076965332,0.4744399893487302,0.4192504216599585
cand_0123,1,48.0,1.3069228632345857,0.0,0.3381640126607286,0.7763497178711561,3.2848317623138428,3.311607599258423,3.359112024307251,3.317674994468689,0.4725855932580673,0.41076803857632505
cand_0098,1,48.0,1.313552908361205,0.0,0.611434298331154,0.12239141696171796,3.2788403034210205,3.3052868843078613,3.3600683212280273,3.313834547996521,0.46485370284614186,0.37540080675090615
cand_0121,3,16.0,1.451089875468395,0.31306511345472043,0.07993337381703294,0.23939187141322285,3.275390863418579,3.3097007274627686,3.3543782234191895,3.312212461233139,0.461587989553691,0.3604627731089241
cand_0117,2,24.0,1.363663828009632,0.1568435047193429,0.6073681497589102,0.04283136464266023,3.2730464935302734,3.303326368331909,3.3551061153411865,3.3095568299293516,0.4562414626943357,0.33600667701578796
cand_0190,3,16.0,1.3622360053471219,0.17599050633464924,0.7060630584561739,0.8846046222874665,3.273513078689575,3.303556442260742,3.3474581241607666,3.3073093116283414,0.4517165811921081,0.3153089531027586
cand_0227,1,48.0,1.3174998505139208,0.0,0.7345069100578275,0.30842389629814476,3.2702534198760986,3.2967658042907715,3.3491628170013428,3.304515498876572,0.4460918565189043,0.28958032389656524
cand_0021,4,12.0,1.4114035790807185,0.42596468084138317,0.7198008265737179,0.1500030857343287,3.2656424045562744,3.2989606857299805,3.3463521003723145,3.3027014970779422,0.44243976470726587,0.27287491669747843
cand_0022,2,24.0,1.6034722268657635,0.5172826473586566,0.2305447709638399,0.7349372791943456,3.261929512023926,3.2992804050445557,3.337317705154419,3.2985697150230404,0.4341213344710993,0.23482473298919532
cand_0038,2,24.0,1.5034026485996463,0.32564124585127513,0.9920447776121175,0.1048044723728941,3.2611825466156006,3.297370433807373,3.3396706581115723,3.2984522461891173,0.4338848369291357,0.23374294536066556
cand_0180,3,16.0,1.3981678650971312,0.19660754153959914,0.4057521360328797,0.2474627694450538,3.260328769683838,3.2909996509552,3.340627908706665,3.29639402627945,0.4297410659117501,0.2147884979492941
cand_0182,2,24.0,1.5422552366227937,0.47510698282307373,0.398874243245239,0.3269119416586023,3.2588589191436768,3.2963016033172607,3.3363893032073975,3.2962251663208004,0.4294011036951947,0.21323344195596877
cand_0120,4,12.0,1.455705587735114,0.4382699356220874,0.46801135311488956,0.18099453971083262,3.259157419204712,3.292843818664551,3.3392045497894287,3.296120816469193,0.4291910183254395,0.212272468949445
cand_0044,4,12.0,1.3939111839741258,0.4643331594778498,0.3270758983616305,0.28561209931108483,3.2589824199676514,3.2925877571105957,3.33662748336792,3.2951388001441955,0.42721394543492336,0.2032289373511716
cand_0155,1,48.0,1.3385036218085609,0.0,0.27820670069283937,0.882892459467762,3.2602829933166504,3.2871978282928467,3.333845376968384,3.292938089370727,0.42278330054711816,0.18296227078778832
